Country ,RegionName,Date,NoNewCases,NoDeaths,NoRecoveries,CumulativeCases,CumulativeDeaths,CumulativeRecoveries,,
Australia,Australian Capital Territory,4/20/2020,1,0,3,104,3,91,,
Australia,Australian Capital Territory,4/21/2020,0,0,1,104,3,92,,
Australia,Australian Capital Territory,4/22/2020,0,0,1,104,3,93,,
Australia,Australian Capital Territory,4/23/2020,0,0,0,104,3,93,,
Australia,Australian Capital Territory,4/24/2020,1,0,4,105,3,97,,
Australia,Australian Capital Territory,4/25/2020,1,0,1,106,3,98,,
Australia,Australian Capital Territory,4/26/2020,0,0,1,106,3,99,,
Australia,Australian Capital Territory,4/27/2020,0,0,1,106,3,100,,
Australia,Australian Capital Territory,4/28/2020,0,0,1,106,3,101,,
Australia,Australian Capital Territory,4/29/2020,0,0,0,106,3,101,,
Australia,Australian Capital Territory,4/30/2020,0,0,2,106,3,103,,
Australia,Australian Capital Territory,5/01/2020,0,0,0,106,3,103,,
Australia,Australian Capital Territory,5/02/2020,0,0,0,106,3,103,,
Australia,Australian Capital Territory,5/03/2020,0,0,0,106,3,103,,
Australia,Australian Capital Territory,5/04/2020,1,0,0,107,3,103,,
Australia,Australian Capital Territory,5/05/2020,0,0,0,107,3,103,,
Australia,Australian Capital Territory,5/06/2020,0,0,0,107,3,103,,
Australia,Australian Capital Territory,5/07/2020,0,0,0,107,3,103,,
Australia,Australian Capital Territory,5/08/2020,0,0,0,107,3,103,,
Australia,Australian Capital Territory,5/09/2020,0,0,1,107,3,104,,
Australia,Australian Capital Territory,5/10/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/11/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/12/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/13/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/14/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/15/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/16/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/17/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/18/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/19/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/20/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/21/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/22/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/23/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/24/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/25/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/26/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/27/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/28/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/29/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/30/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,5/31/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,6/01/2020,0,0,0,107,3,104,,
Australia,Australian Capital Territory,6/02/2020,0,0,0,107,3,104,,
Australia,New South Wales,1/22/2020,0,0,0,0,0,0,,
Australia,New South Wales,1/23/2020,0,0,0,0,0,0,,
Australia,New South Wales,1/24/2020,0,0,0,0,0,0,,
Australia,New South Wales,1/25/2020,0,0,0,0,0,0,,
Australia,New South Wales,1/26/2020,3,0,0,3,0,0,,
Australia,New South Wales,1/27/2020,1,0,0,4,0,0,,
Australia,New South Wales,1/28/2020,0,0,0,4,0,0,,
Australia,New South Wales,1/29/2020,0,0,0,4,0,0,,
Australia,New South Wales,1/30/2020,0,0,2,4,0,2,,
Australia,New South Wales,1/31/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/01/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/02/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/03/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/04/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/05/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/06/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/07/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/08/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/09/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/10/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/11/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/12/2020,0,0,0,4,0,2,,
Australia,New South Wales,2/13/2020,0,0,2,4,0,4,,
Australia,New South Wales,2/14/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/15/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/16/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/17/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/18/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/19/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/20/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/21/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/22/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/23/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/24/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/25/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/26/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/27/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/28/2020,0,0,0,4,0,4,,
Australia,New South Wales,2/29/2020,0,0,0,4,0,4,,
Australia,New South Wales,3/01/2020,2,0,0,6,0,4,,
Australia,New South Wales,3/02/2020,0,0,0,6,0,4,,
Australia,New South Wales,3/03/2020,7,0,0,13,0,4,,
Australia,New South Wales,3/04/2020,9,1,0,22,1,4,,
Australia,New South Wales,3/05/2020,0,0,0,22,1,4,,
Australia,New South Wales,3/06/2020,4,0,0,26,1,4,,
Australia,New South Wales,3/07/2020,2,0,0,28,1,4,,
Australia,New South Wales,3/08/2020,10,1,0,38,2,4,,
Australia,New South Wales,3/09/2020,10,0,0,48,2,4,,
Australia,New South Wales,3/10/2020,7,0,0,55,2,4,,
Australia,New South Wales,3/11/2020,10,0,0,65,2,4,,
Australia,New South Wales,3/12/2020,0,0,0,65,2,4,,
Australia,New South Wales,3/13/2020,27,0,0,92,2,4,,
Australia,New South Wales,3/14/2020,20,0,0,112,2,4,,
Australia,New South Wales,3/15/2020,22,0,0,134,2,4,,
Australia,New South Wales,3/16/2020,37,0,0,171,2,4,,
Australia,New South Wales,3/17/2020,39,2,0,210,4,4,,
Australia,New South Wales,3/18/2020,57,1,0,267,5,4,,
Australia,New South Wales,3/19/2020,40,0,0,307,5,4,,
Australia,New South Wales,3/20/2020,46,1,0,353,6,4,,
Australia,New South Wales,3/21/2020,83,0,0,436,6,4,,
Australia,New South Wales,3/22/2020,233,0,0,669,6,4,,
Australia,New South Wales,3/23/2020,0,0,0,669,6,4,,
Australia,New South Wales,3/24/2020,149,1,0,818,7,4,,
Australia,New South Wales,3/25/2020,211,0,0,1029,7,4,,
Australia,New South Wales,3/26/2020,190,0,0,1219,7,4,,
Australia,New South Wales,3/27/2020,186,0,0,1405,7,4,,
Australia,New South Wales,3/28/2020,212,1,0,1617,8,4,,
Australia,New South Wales,3/29/2020,174,0,0,1791,8,4,,
Australia,New South Wales,3/30/2020,241,0,0,2032,8,4,,
Australia,New South Wales,3/31/2020,0,0,0,2032,8,4,,
Australia,New South Wales,4/01/2020,150,1,0,2182,9,4,,
Australia,New South Wales,4/02/2020,116,1,0,2298,10,4,,
Australia,New South Wales,4/03/2020,91,2,0,2389,12,4,,
Australia,New South Wales,4/04/2020,104,0,0,2493,12,4,,
Australia,New South Wales,4/05/2020,87,4,0,2580,16,4,,
Australia,New South Wales,4/06/2020,57,2,0,2637,18,4,,
Australia,New South Wales,4/07/2020,49,3,0,2686,21,4,,
Australia,New South Wales,4/08/2020,48,0,0,2734,21,4,,
Australia,New South Wales,4/09/2020,39,0,0,2773,21,4,,
Australia,New South Wales,4/10/2020,49,1,0,2822,22,4,,
Australia,New South Wales,4/11/2020,35,1,0,2857,23,4,,
Australia,New South Wales,4/12/2020,0,1,0,2857,24,4,,
Australia,New South Wales,4/13/2020,6,1,0,2863,25,4,,
Australia,New South Wales,4/14/2020,7,0,0,2870,25,4,,
Australia,New South Wales,4/15/2020,16,0,0,2886,25,4,,
Australia,New South Wales,4/16/2020,11,0,0,2897,25,4,,
Australia,New South Wales,4/17/2020,29,1,1375,2926,26,1379,,
Australia,New South Wales,4/18/2020,10,0,0,2936,26,1379,,
Australia,New South Wales,4/19/2020,21,0,0,2957,26,1379,,
Australia,New South Wales,4/20/2020,6,0,0,2963,26,1379,,
Australia,New South Wales,4/21/2020,6,0,376,2969,26,1755,,
Australia,New South Wales,4/22/2020,2,0,171,2971,26,1926,,
Australia,New South Wales,4/23/2020,5,5,80,2976,31,2006,,
Australia,New South Wales,4/24/2020,6,2,50,2982,33,2056,,
Australia,New South Wales,4/25/2020,12,0,137,2994,33,2193,,
Australia,New South Wales,4/26/2020,8,1,15,3002,34,2208,,
Australia,New South Wales,4/27/2020,2,0,19,3004,34,2227,,
Australia,New South Wales,4/28/2020,12,5,39,3016,39,2266,,
Australia,New South Wales,4/29/2020,0,1,18,3016,40,2284,,
Australia,New South Wales,4/30/2020,9,1,9,3025,41,2293,,
Australia,New South Wales,5/01/2020,5,0,0,3030,41,2293,,
Australia,New South Wales,5/02/2020,5,1,13,3035,42,2306,,
Australia,New South Wales,5/03/2020,2,0,22,3033,42,2328,,
Australia,New South Wales,5/04/2020,2,1,21,3035,43,2349,,
Australia,New South Wales,5/05/2020,7,1,69,3042,44,2418,,
Australia,New South Wales,5/06/2020,2,0,45,3044,44,2463,,
Australia,New South Wales,5/07/2020,3,0,23,3047,44,2486,,
Australia,New South Wales,5/08/2020,4,0,18,3051,44,2504,,
Australia,New South Wales,5/09/2020,2,0,0,3053,44,2504,,
Australia,New South Wales,5/10/2020,0,0,13,3053,44,2517,,
Australia,New South Wales,5/11/2020,0,0,26,3053,44,2543,,
Australia,New South Wales,5/12/2020,6,1,28,3059,45,2571,,
Australia,New South Wales,5/13/2020,4,0,24,3063,45,2595,,
Australia,New South Wales,5/14/2020,8,0,10,3071,45,2605,,
Australia,New South Wales,5/15/2020,3,0,6,3074,45,2611,,
Australia,New South Wales,5/16/2020,1,0,0,3075,45,2611,,
Australia,New South Wales,5/17/2020,1,1,1,3076,46,2612,,
Australia,New South Wales,5/18/2020,2,0,2,3078,46,2614,,
Australia,New South Wales,5/19/2020,3,1,17,3081,47,2631,,
Australia,New South Wales,5/20/2020,1,0,17,3082,47,2648,,
Australia,New South Wales,5/21/2020,2,1,0,3084,48,2648,,
Australia,New South Wales,5/22/2020,2,0,5,3086,48,2653,,
Australia,New South Wales,5/23/2020,1,0,0,3087,48,2653,,
Australia,New South Wales,5/24/2020,3,0,3,3090,48,2656,,
Australia,New South Wales,5/25/2020,2,0,5,3092,48,2661,,
Australia,New South Wales,5/26/2020,3,0,2,3089,48,2663,,
Australia,New South Wales,5/27/2020,1,0,7,3090,48,2670,,
Australia,New South Wales,5/28/2020,2,0,4,3092,48,2674,,
Australia,New South Wales,5/29/2020,0,0,9,3092,48,2683,,
Australia,New South Wales,5/30/2020,3,0,2,3095,48,2685,,
Australia,New South Wales,5/31/2020,3,0,0,3098,48,2685,,
Australia,New South Wales,6/01/2020,6,0,2,3104,48,2687,,
Australia,New South Wales,6/02/2020,0,0,4,3104,48,2691,,
Australia,Northern Territory,1/22/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/23/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/24/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/25/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/26/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/27/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/28/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/29/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/30/2020,0,0,0,0,0,0,,
Australia,Northern Territory,1/31/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/01/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/02/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/03/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/04/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/05/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/06/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/07/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/08/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/09/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/10/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/11/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/12/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/13/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/14/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/15/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/16/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/17/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/18/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/19/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/20/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/21/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/22/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/23/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/24/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/25/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/26/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/27/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/28/2020,0,0,0,0,0,0,,
Australia,Northern Territory,2/29/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/01/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/02/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/03/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/04/2020,1,0,0,1,0,0,,
Australia,Northern Territory,3/05/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/06/2020,1,0,0,0,0,0,,
Australia,Northern Territory,3/07/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/08/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/09/2020,0,0,0,0,0,0,,
Australia,Northern Territory,3/10/2020,1,0,0,1,0,0,,
Australia,Northern Territory,3/11/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/12/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/13/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/14/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/15/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/16/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/17/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/18/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/19/2020,0,0,0,1,0,0,,
Australia,Northern Territory,3/20/2020,2,0,0,3,0,0,,
Australia,Northern Territory,3/21/2020,0,0,0,3,0,0,,
Australia,Northern Territory,3/22/2020,2,0,0,5,0,0,,
Australia,Northern Territory,3/23/2020,0,0,0,5,0,0,,
Australia,Northern Territory,3/24/2020,1,0,0,6,0,0,,
Australia,Northern Territory,3/25/2020,0,0,0,6,0,0,,
Australia,Northern Territory,3/26/2020,6,0,0,12,0,0,,
Australia,Northern Territory,3/27/2020,0,0,0,12,0,0,,
Australia,Northern Territory,3/28/2020,3,0,0,15,0,0,,
Australia,Northern Territory,3/29/2020,0,0,0,15,0,0,,
Australia,Northern Territory,3/30/2020,0,0,0,15,0,0,,
Australia,Northern Territory,3/31/2020,2,0,0,17,0,0,,
Australia,Northern Territory,4/01/2020,2,0,0,19,0,0,,
Australia,Northern Territory,4/02/2020,2,0,0,21,0,0,,
Australia,Northern Territory,4/03/2020,1,0,0,22,0,0,,
Australia,Northern Territory,4/04/2020,4,0,1,26,0,1,,
Australia,Northern Territory,4/05/2020,1,0,0,27,0,1,,
Australia,Northern Territory,4/06/2020,1,0,1,28,0,2,,
Australia,Northern Territory,4/07/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/08/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/09/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/10/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/11/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/12/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/13/2020,0,0,0,28,0,2,,
Australia,Northern Territory,4/14/2020,0,0,4,28,0,6,,
Australia,Northern Territory,4/15/2020,0,0,0,28,0,6,,
Australia,Northern Territory,4/16/2020,0,0,0,28,0,6,,
Australia,Northern Territory,4/17/2020,0,0,3,28,0,9,,
Australia,Northern Territory,4/18/2020,0,0,0,28,0,9,,
Australia,Northern Territory,4/19/2020,0,0,0,28,0,9,,
Australia,Northern Territory,4/20/2020,0,0,3,28,0,12,,
Australia,Northern Territory,4/21/2020,0,0,3,28,0,15,,
Australia,Northern Territory,4/22/2020,0,0,1,28,0,16,,
Australia,Northern Territory,4/23/2020,0,0,0,28,0,16,,
Australia,Northern Territory,4/24/2020,0,0,4,28,0,20,,
Australia,Northern Territory,4/25/2020,0,0,3,28,0,23,,
Australia,Northern Territory,4/26/2020,0,0,0,28,0,23,,
Australia,Northern Territory,4/27/2020,0,0,0,28,0,23,,
Australia,Northern Territory,4/28/2020,0,0,2,28,0,25,,
Australia,Northern Territory,4/29/2020,0,0,0,28,0,25,,
Australia,Northern Territory,4/30/2020,0,0,0,28,0,25,,
Australia,Northern Territory,5/01/2020,1,0,0,27,0,25,,
Australia,Northern Territory,5/02/2020,2,0,0,29,0,25,,
Australia,Northern Territory,5/03/2020,0,0,0,29,0,25,,
Australia,Northern Territory,5/04/2020,0,0,0,29,0,25,,
Australia,Northern Territory,5/05/2020,0,0,1,29,0,26,,
Australia,Northern Territory,5/06/2020,0,0,1,29,0,27,,
Australia,Northern Territory,5/07/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/08/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/09/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/10/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/11/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/12/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/13/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/14/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/15/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/16/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/17/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/18/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/19/2020,0,0,0,29,0,27,,
Australia,Northern Territory,5/20/2020,0,0,2,29,0,29,,
Australia,Northern Territory,5/21/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/22/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/23/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/24/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/25/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/26/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/27/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/28/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/29/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/30/2020,0,0,0,29,0,29,,
Australia,Northern Territory,5/31/2020,0,0,0,29,0,29,,
Australia,Northern Territory,6/01/2020,0,0,0,29,0,29,,
Australia,Northern Territory,6/02/2020,0,0,0,29,0,29,,
Australia,Queensland,1/22/2020,0,0,0,0,0,0,,
Australia,Queensland,1/23/2020,0,0,0,0,0,0,,
Australia,Queensland,1/24/2020,0,0,0,0,0,0,,
Australia,Queensland,1/25/2020,0,0,0,0,0,0,,
Australia,Queensland,1/26/2020,0,0,0,0,0,0,,
Australia,Queensland,1/27/2020,0,0,0,0,0,0,,
Australia,Queensland,1/28/2020,0,0,0,0,0,0,,
Australia,Queensland,1/29/2020,1,0,0,1,0,0,,
Australia,Queensland,1/30/2020,2,0,0,3,0,0,,
Australia,Queensland,1/31/2020,1,0,0,2,0,0,,
Australia,Queensland,2/01/2020,1,0,0,3,0,0,,
Australia,Queensland,2/02/2020,1,0,0,2,0,0,,
Australia,Queensland,2/03/2020,0,0,0,2,0,0,,
Australia,Queensland,2/04/2020,1,0,0,3,0,0,,
Australia,Queensland,2/05/2020,0,0,0,3,0,0,,
Australia,Queensland,2/06/2020,1,0,0,4,0,0,,
Australia,Queensland,2/07/2020,1,0,0,5,0,0,,
Australia,Queensland,2/08/2020,0,0,0,5,0,0,,
Australia,Queensland,2/09/2020,0,0,0,5,0,0,,
Australia,Queensland,2/10/2020,0,0,0,5,0,0,,
Australia,Queensland,2/11/2020,0,0,0,5,0,0,,
Australia,Queensland,2/12/2020,0,0,0,5,0,0,,
Australia,Queensland,2/13/2020,0,0,0,5,0,0,,
