Afghanistan,"38,928,346"
Albania,"2,877,797"
Algeria,"43,851,044"
Andorra,"77,265"
Angola,"32866272	"
Antigua and Barbuda,"97929	"
Argentina,"45195774	"
Armenia,"2963243	"
Australia,"25499884	"
Austria,"9006398	"
Azerbaijan,"10139177	"
Bahamas,"393244	"
Bahrain,"1701575	"
Bangladesh,"164689383	"
Barbados,"287375	"
Belarus,"9449323	"
Belgium,"11,589,623"
Belize,"397628	"
Benin,"12123200	"
Bhutan,"771608	"
Bolivia,"11,673,021"
Bosnia and Herzegovina,"3280819	"
Botswana,"2351627	"
Brazil,"212559417	"
Brunei,"437479	"
Bulgaria,"6948445	"
Burkina Faso,"20,903,273"
Burundi,"11,890,784"
Cabo Verde,"555987	"
Cambodia,"16718965	"
Cameroon,"26545863	"
Canada,"37,742,154"
Central African Republic,"4829767	"
Chad,"16425864	"
Chile,"19116201	"
China,"1439323776	"
Colombia,"50882891	"
Comoros,"869,601"
Congo (Brazzaville),"5,518,087"
Congo (Kinshasa),"89,561,403"
Costa Rica,"5094118	"
Cote d'Ivoire,"26378274	"
Croatia,"4105267	"
Cuba,"11326616	"
Cyprus,"1,207,359"
Czechia,"10708981	"
Denmark,"5792202	"
Djibouti,"988000	"
Dominica,"71986	"
Dominican Republic,"10,847,910"
Ecuador,"17643054	"
Egypt,"102334404	"
El Salvador,"6,486,205"
Equatorial Guinea,"1402985	"
Eritrea,"3546421	"
Estonia,"1326535	"
Eswatini,"1160164	"
Ethiopia,"114,963,588"
Fiji,"896,445"
Finland,"5,540,720"
France,"65273511	"
Gabon,"2225734	"
Gambia,"2416668	"
Georgia,"3989167	"
Germany,"83783942	"
Ghana,"31,072,940"
Greece,"10423054	"
Grenada,"112523	"
Guatemala,"17915568	"
Guinea,"13132795	"
Guinea-Bissau,"1968001	"
Guyana,"786552	"
Haiti,"11402528	"
Holy See,"801	"
Honduras,"9904607	"
Hungary,"9660351	"
Iceland,"341243	"
India,"1380004385	"
Indonesia,"273,523,615"
Iran,"83992949	"
Iraq,"40222493	"
Ireland,"4937786	"
Israel,"8655535	"
Italy,"60,461,826"
Jamaica,"2961167	"
Japan,"126476461	"
Jordan,"10203134	"
Kazakhstan,"18,776,707"
Kenya,"53,771,296"
Kosovo,"119,449"
Kuwait,"4,270,571"
Kyrgyzstan,"6,524,195"
Laos,"7,275,560"
Latvia,"1,886,198"
Lebanon,"6,825,445"
Lesotho,"2142249	"
Liberia,"5,057,681"
Libya,"6,871,292"
Liechtenstein,"38,128"
Lithuania,"2,722,289"
Luxembourg,"625,978"
Madagascar,"27,691,018"
Malawi,"19,129,952"
Malaysia,"32,365,999"
Maldives,"540,544"
Mali,"20,250,833"
Malta,"441,543"
Marshall Islands,"59,190"
Mauritania,"4,649,658"
Mauritius,"1,271,768"
Mexico,"128,932,753"
Micronesia,"115023	"
Moldova,"4,033,963"
Monaco,"39242	"
Mongolia,"3,278,290"
Montenegro,"628066	"
Morocco,"36,910,560"
Mozambique,"31255435	"
Myanmar,"54409800	"
Namibia,"2,540,905"
Nauru,"10,824"
Nepal,"29,136,808"
Netherlands,"17,134,872"
New Zealand,"4,822,233"
Nicaragua,"6,624,554"
Niger,"24,206,644"
Nigeria,"206,139,589"
North Korea,"25,778,816"
North Macedonia,"2,083,374"
Norway,"5,421,241"
Oman,"5,106,626"
Pakistan,"220,892,340"
Palastine State,"5,101,414"
Palau,"18,094"
Panama,"4,314,767"
Papua New Guinea,"8,947,024"
Paraguay,"7,132,538"
Peru,"32,971,854"
Philippines,"109,581,078"
Poland,"37,846,611"
Portugal,"10,196,709"
Qatar,"2,881,053"
Romania,"19,237,691"
Russia,"145,934,462"
Rwanda,"12,952,218"
Saint Kitts and Nevis,"53,199"
Saint Lucia,"183,627"
Saint Vincent and the Grenadines,"110,940"
Samoa,"198,414"
San Marino,"33,931"
Sao Tome and Principe,"219,159"
Saudi Arabia,"34813871	"
Senegal,"16,743,927"
Serbia,"8,737,371"
Seychelles,"98,347"
Sierra Leone,"7,976,983"
Singapore,"5,850,342"
Slovakia,"5,459,642"
Slovenia,"2,078,938"
Solomon Islands,"686,884"
Somalia,"15,893,222"
South Africa,"59,308,690"
South Korea,"51,269,185"
South Sudan,"11,193,725"
Spain,"46,754,778"
Sri Lanka,"21,413,249"
Sudan,"43,849,260"
Suriname,"586,632"
Sweden,"10,099,265"
Switzerland,"8,654,622"
Syria,"17,500,658"
Tajikistan,"9,537,645"
Tanzania,"59,734,218"
Thailand,"69,799,978"
Timor-Leste,"1,318,445"
Togo,"8,278,724"
Tonga,"105695	"
Trinidad and Tobago,"1,399,488"
Tunisia,"11,818,619"
Turkey,"84,339,067"
Turkmenistan,"6,031,200"
Tuvalu,"11,792"
US,"331,002,651"
Uganda,"45,741,007"
Ukraine,"43,733,762"
UAE,"9,890,402"
UK,"67,886,011"
Uruguay,"3,473,730"
Uzbekistan,"33,469,203"
Vanuatu,"307,145"
Venezuela,"28,435,940"
Vietnam,"97,338,579"
Western Sahara,"596,222"
Yemen,"29,825,964"
Zambia,"18,383,955"
Zimbabwe,"14,862,924"
